"","Timestamp","Open","High","Low","Close","Volume_BTC","Volume_USD","Weighted_Price","WP_Increase","ma10","ma50","ma100","Ma10_WP_Increase","Ma50_WP_Increase","Ma100_WP_Increase","rsi","RSI_GreaterThan_50"
"1",2015-04-13,237.57,238,220.77,225.73,11641.75795232,2682148.43731168,233.545701698444,0,246.72999321985,260.81403552601,258.526647240105,0,0,0,32.8661821516696,0
"2",2015-04-14,225.42,226.9,216.92,221.05,12054.59608407,2666820.93330981,221.570502980542,1,243.495826391484,260.497649603572,257.39235226991,0,0,0,26.7138883759714,0
"3",2015-04-15,221.05,224.52,218.09,224.35,8708.3674313,1933906.30798342,222.241195439415,1,240.101388611044,260.158047467142,255.836215117162,0,0,0,27.5320873622285,0
"4",2015-04-16,224.35,230.75,223.66,229.45,8248.38976112,1881515.36222362,227.817998880179,0,236.953586532854,259.940846167606,254.33621177263,0,0,0,34.11847791424,0
"5",2015-04-17,229.45,230.08,220.46,223.62,7338.9675477,1652133.33856896,224.980171331179,0,233.883769853642,259.698070556956,252.815013485942,0,0,0,32.4997740089102,0
"6",2015-04-18,223.55,224.04,222.18,224.02,4499.6330241,1004847.67714507,223.42992196611,1,231.209903398337,259.146493215947,251.269312705603,0,0,0,31.6172982837727,0
"7",2015-04-19,224.04,226.72,223.44,224.03,4655.05391456,1045667.31099535,224.677168066431,1,229.189589013536,258.566396009373,249.766080130967,0,0,0,33.189125693453,0
"8",2015-04-20,224.03,227.45,223.45,225.37,7501.12079273,1688833.99760459,225.05635303741,1,227.804046480694,258.012840991291,248.224143661341,0,0,0,33.6881633336893,0
"9",2015-04-21,225.35,235.89,224.01,235.89,9517.59866755,2173625.49980669,227.267171637483,1,226.820743478935,257.283121401705,246.860705056616,1,0,0,36.6588625656648,0
"10",2015-04-22,235.89,238.6,232.78,233.98,7390.9531407,1743476.3899801,236.033616854011,0,226.66198018912,256.470444567312,245.796041225156,1,0,0,46.8303904676517,0
"11",2015-04-23,233.96,236.54,232.79,235.99,6599.83124319,1550389.21422075,234.891282091104,0,226.796538228386,255.567063152479,245.194274274576,1,0,0,45.7983314190376,0
